age,reason,guardian,studytime,failures,Dalc,Walc,G3,Outlier,ExtremeValue
18,course,mother,2,0,1,1,11,no,no
17,course,father,2,0,1,1,11,no,no
15,other,mother,2,0,2,3,12,no,no
15,home,mother,3,0,1,1,14,no,no
16,home,father,2,0,1,2,13,no,no
16,reputation,mother,2,0,1,2,13,no,no
16,home,mother,2,0,1,1,13,no,no
17,home,mother,2,0,1,1,13,no,no
15,home,mother,2,0,1,1,17,no,no
15,home,mother,2,0,1,1,13,no,no
15,reputation,mother,2,0,1,2,14,no,no
15,reputation,father,3,0,1,1,13,no,no
15,course,father,1,0,1,3,12,no,no
15,course,mother,2,0,1,2,13,no,no
15,home,other,3,0,1,1,15,no,no
16,home,mother,1,0,1,2,17,no,no
16,reputation,mother,3,0,1,2,14,no,no
16,reputation,mother,2,0,1,1,14,no,no
17,course,mother,1,3,2,4,7,no,yes
16,home,father,1,0,1,3,12,no,no
15,reputation,mother,2,0,1,1,14,no,no
15,other,father,1,0,1,1,12,no,no
16,course,mother,2,0,1,3,14,no,no
16,reputation,mother,2,0,2,4,10,no,no
15,course,mother,3,0,1,1,10,no,no
16,home,mother,1,0,1,3,12,no,no
15,home,mother,1,0,1,2,12,no,no
15,other,mother,1,0,2,4,11,no,no
16,home,mother,2,0,1,1,13,no,no
16,home,mother,2,0,5,5,12,no,no
15,home,mother,2,0,3,4,11,no,no
15,reputation,mother,2,0,1,1,15,no,no
15,course,mother,2,0,1,1,15,no,no
15,course,mother,2,0,1,1,12,no,no
16,home,mother,1,0,1,1,12,no,no
15,other,father,1,0,1,1,11,no,no
15,home,mother,3,0,1,1,14,no,no
16,reputation,mother,3,0,1,1,13,no,no
15,course,mother,3,0,1,1,12,no,no
15,reputation,mother,1,0,1,1,12,no,no
16,home,mother,2,0,1,2,10,no,no
15,home,other,1,0,2,4,11,no,no
15,course,father,2,0,1,1,15,no,no
15,course,father,1,0,1,1,10,no,no
16,course,father,2,1,2,2,11,no,yes
15,course,mother,2,0,1,1,11,no,no
16,home,mother,2,0,1,4,13,no,no
16,reputation,mother,4,0,1,1,17,no,no
15,home,mother,2,0,2,2,13,no,no
